timestamp,speed,category
25040,462,1
25041,452,1
25042,472,1
25043,465,1
25044,489,1
25045,517,2
25046,523,2
25047,530,2
25048,612,2
25049,601,2
25050,605,2
25051,599,2
25052,611,2
25053,612,2
25054,591,2
25055,591,2
25056,604,2
25057,598,2
25058,588,2
25059,581,2
25060,574,2
25061,575,2
25062,579,2
25063,577,2
25064,570,2
25065,570,2
25066,552,2
25067,541,2
25068,534,2
25069,556,2
25070,559,2
25071,542,2
25072,560,2
25073,543,2
25074,528,2
25075,514,2
25076,524,2
25077,525,2
25078,521,2
25079,517,2
25080,506,2
25081,490,1
25082,478,1
25083,511,2
25084,536,2
25085,537,2
25086,523,2
25087,468,1
25088,495,1
25089,484,1
25090,467,1
25091,474,1
25092,517,2
25093,540,2
25094,523,2
25095,523,2
25096,532,2
25097,523,2
25098,476,1
25099,477,1
25100,491,1
25101,496,1
25102,483,1
25103,477,1
25104,445,1
25105,455,1
25106,455,1
25107,429,1
25108,423,1
25109,427,1
25110,424,1
25111,417,1
25112,412,1
25113,424,1
25114,418,1
25115,416,1
25116,421,1
25117,409,1
25118,407,1
25119,396,1
25120,420,1
25121,419,1
25122,402,1
25123,408,1
25124,409,1
25125,412,1
25126,407,1
25127,392,1
25128,397,1
25129,390,1
25130,389,1
25131,393,1
25132,399,1
25133,391,1
25134,383,1
25135,378,1
25136,379,1
25137,372,1
25138,378,1
25139,373,1
25140,404,1
25141,372,1
25142,363,1
25143,372,1
25144,369,1
25145,371,1
25146,366,1
25147,371,1
25148,386,1
25149,383,1
25150,384,1
25151,382,1
25152,378,1
25153,368,1
25154,360,1
25155,360,1
25156,355,1
25157,350,1
25158,376,1
25159,395,1
25160,396,1
25161,383,1
25162,352,1
25163,346,1
25164,358,1
25165,366,1
25166,357,1
25167,361,1
25168,348,1
25169,352,1
25170,347,1
25171,348,1
25172,353,1
25173,352,1
25174,350,1
25175,352,1
25176,355,1
25177,347,1
25178,343,1
25179,339,1
25180,337,1
25181,336,1
25182,334,1
25183,330,1
25184,321,1
25185,334,1
25186,334,1
25187,336,1
25188,339,1
25189,348,1
25190,348,1
25191,352,1
25192,336,1
25193,332,1
25194,339,1
25195,341,1
25196,352,1
25197,356,1
25198,353,1
25199,354,1
25200,348,1
25201,338,1
25202,338,1
25203,328,1
25204,332,1
25205,339,1
25206,350,1
25207,390,1
25208,419,1
25209,432,1
25210,449,1
25211,468,1
25212,459,1
25213,471,1
25214,532,2
25215,507,2
25216,513,2
25217,507,2
25218,521,2
25219,524,2
25220,522,2
25221,517,2
25222,502,2
25223,524,2
25224,536,2
25225,506,2
25226,496,1
25227,514,2
25228,517,2
25229,516,2
25230,508,2
25231,513,2
25232,508,2
25233,492,1
25234,487,1
25235,477,1
25236,472,1
25237,467,1
25238,457,1
25239,457,1
25240,457,1
25241,463,1
25242,449,1
25243,439,1
25244,428,1
25245,427,1
25246,432,1
25247,428,1
25248,423,1
25249,427,1
25250,433,1
25251,429,1
25252,425,1
25253,408,1
25254,404,1
25255,396,1
25256,404,1
25257,403,1
25258,402,1
25259,395,1
25260,390,1
25261,390,1
25262,380,1
25263,376,1
25264,376,1
25265,378,1
25266,374,1
25267,376,1
25268,380,1
25269,383,1
25270,358,1
25271,362,1
25272,389,1
25273,413,1
25274,398,1
25275,375,1
25276,369,1
25277,369,1
25278,363,1
25279,363,1
25280,382,1
25281,389,1
25282,385,1
25283,376,1
25284,383,1
25285,392,1
25286,380,1
25287,385,1
25288,383,1
25289,395,1
25290,398,1
25291,384,1
25292,389,1
25293,387,1
25294,397,1
25295,390,1
25296,387,1
25297,391,1
25298,394,1
25299,387,1
25300,395,1
25301,397,1
25302,391,1
25303,389,1
25304,384,1
25305,381,1
25306,392,1
25307,391,1
25308,384,1
25309,391,1
25310,388,1
25311,377,1
25312,367,1
25313,388,1
25314,376,1
25315,373,1
25316,378,1
25317,381,1
25318,379,1
25319,381,1
25320,375,1
25321,374,1
25322,375,1
25323,362,1
25324,362,1
25325,358,1
25326,354,1
25327,351,1
25328,345,1
25329,339,1
25330,339,1
25331,338,1
25332,332,1
25333,329,1
25334,327,1
25335,328,1
25336,325,1
25337,324,1
25338,332,1
25339,338,1
25340,334,1
25341,330,1
25342,326,1
25343,316,1
25344,315,1
25345,314,1
25346,310,1
25347,309,1
25348,309,1
25349,308,1
25350,311,1
25351,309,1
25352,322,1
25353,323,1
25354,321,1
25355,329,1
25356,332,1
25357,326,1
25358,329,1
25359,335,1
25360,327,1
25361,309,1
25362,303,1
25363,296,0
25364,304,1
25365,299,0
25366,296,0
25367,294,0
25368,301,1
25369,300,1
25370,307,1
25371,311,1
25372,335,1
25373,338,1
25374,357,1
25375,356,1
25376,355,1
25377,353,1
25378,354,1
25379,354,1
25380,346,1
25381,364,1
25382,372,1
25383,361,1
25384,339,1
25385,311,1
25386,322,1
25387,323,1
25388,296,0
25389,276,0
25390,313,1
25391,330,1
25392,323,1
25393,315,1
25394,313,1
25395,316,1
25396,318,1
25397,310,1
25398,315,1
25399,306,1
25400,302,1
25401,318,1
25402,319,1
25403,320,1
25404,319,1
25405,321,1
25406,325,1
25407,313,1
25408,310,1
25409,314,1
25410,314,1
25411,308,1
25412,298,0
25413,300,1
25414,304,1
25415,307,1
25416,306,1
25417,306,1
25418,300,1
25419,306,1
25420,301,1
25421,319,1
25422,326,1
25423,313,1
25424,322,1
25425,318,1
25426,315,1
25427,314,1
25428,313,1
25429,318,1
25430,317,1
25431,318,1
25432,318,1
25433,317,1
25434,316,1
25435,314,1
25436,316,1
25437,317,1
25438,312,1
25439,303,1
25440,296,0
25441,295,0
25442,294,0
25443,289,0
25444,286,0
25445,286,0
25446,290,0
25447,285,0
25448,287,0
25449,291,0
25450,286,0
25451,281,0
25452,282,0
25453,283,0
25454,282,0
25455,290,0
25456,305,1
25457,311,1
25458,311,1
25459,311,1
25460,310,1
25461,312,1
25462,313,1
25463,310,1
25464,306,1
25465,304,1
25466,307,1
25467,303,1
25468,304,1
25469,297,0
25470,297,0
25471,295,0
25472,294,0
25473,292,0
25474,291,0
25475,286,0
25476,289,0
25477,292,0
25478,315,1
25479,321,1
25480,320,1
25481,319,1
25482,320,1
25483,303,1
25484,294,0
25485,289,0
25486,279,0
25487,279,0
25488,286,0
25489,286,0
25490,290,0
25491,294,0
25492,284,0
25493,281,0
25494,281,0
25495,281,0
25496,280,0
25497,278,0
25498,276,0
25499,276,0
25500,278,0
25501,275,0
25502,287,0
25503,283,0
25504,294,0
25505,292,0
25506,290,0
25507,289,0
25508,284,0
25509,278,0
25510,276,0
25511,271,0
25512,272,0
25513,278,0
25514,278,0
25515,287,0
25516,286,0
25517,281,0
25518,284,0
25519,284,0
25520,277,0
25521,278,0
25522,284,0
25523,284,0
25524,287,0
25525,286,0
25526,292,0
25527,297,0
25528,301,1
25529,308,1
25530,317,1
25531,322,1
25532,323,1
25533,328,1
25534,331,1
25535,332,1
25536,334,1
25537,357,1
25538,355,1
25539,356,1
25540,350,1
25541,354,1
25542,363,1
25543,375,1
25544,356,1
25545,353,1
25546,353,1
25547,348,1
25548,339,1
25549,361,1
25550,367,1
25551,378,1
25552,391,1
25553,409,1
25554,419,1
25555,451,1
25556,459,1
25557,498,1
25558,497,1
25559,518,2
25560,511,2
25561,515,2
25562,520,2
25563,552,2
25564,510,2
25565,505,2
25566,507,2
25567,501,2
25568,497,1
25569,496,1
25570,493,1
25571,498,1
25572,499,1
25573,480,1
25574,507,2
25575,496,1
25576,478,1
25577,471,1
25578,480,1
25579,483,1
25580,465,1
25581,460,1
25582,449,1
25583,454,1
25584,458,1
25585,455,1
25586,457,1
25587,451,1
25588,448,1
25589,440,1
25590,429,1
25591,431,1
25592,425,1
25593,418,1
25594,424,1
25595,424,1
25596,419,1
25597,412,1
25598,410,1
25599,409,1
25600,396,1
25601,394,1
25602,394,1
25603,389,1
25604,382,1
25605,383,1
25606,384,1
25607,387,1
25608,387,1
25609,400,1
25610,396,1
25611,406,1
25612,407,1
25613,408,1
25614,418,1
25615,411,1
25616,391,1
25617,407,1
25618,407,1
25619,395,1
25620,387,1
25621,390,1
25622,388,1
25623,387,1
25624,400,1
25625,396,1
25626,391,1
25627,381,1
25628,378,1
25629,381,1
25630,377,1
25631,384,1
25632,397,1
25633,400,1
25634,383,1
25635,380,1
25636,382,1
25637,384,1
25638,382,1
25639,367,1
25640,368,1
25641,360,1
25642,354,1
25643,339,1
25644,346,1
25645,357,1
25646,363,1
25647,347,1
25648,356,1
25649,379,1
25650,374,1
25651,391,1
25652,378,1
25653,352,1
25654,343,1
25655,345,1
25656,350,1
25657,353,1
25658,350,1
25659,345,1
25660,341,1
25661,348,1
25662,352,1
25663,349,1
25664,344,1
25665,330,1
25666,350,1
25667,361,1
25668,353,1
25669,352,1
25670,369,1
25671,340,1
25672,343,1
25673,332,1
25674,345,1
25675,336,1
25676,327,1
25677,322,1
25678,333,1
25679,337,1
25680,330,1
25681,335,1
25682,350,1
25683,347,1
25684,342,1
25685,343,1
25686,340,1
25687,340,1
25688,340,1
25689,343,1
25690,339,1
25691,336,1
25692,336,1
25693,340,1
25694,341,1
25695,341,1
25696,339,1
25697,330,1
25698,332,1
25699,328,1
25700,324,1
25701,334,1
25702,340,1
25703,338,1
25704,335,1
25705,334,1
25706,328,1
25707,325,1
25708,313,1
25709,313,1
25710,310,1
25711,307,1
25712,307,1
25713,304,1
25714,312,1
25715,313,1
25716,314,1
25717,315,1
25718,320,1
25719,323,1
25720,332,1
25721,340,1
25722,338,1
25723,344,1
25724,353,1
25725,363,1
25726,384,1
25727,422,1
25728,417,1
25729,445,1
25730,486,1
25731,488,1
25732,499,1
25733,489,1
25734,490,1
25735,494,1
25736,622,2
25737,633,2
25738,623,2
25739,638,2
25740,625,2
25741,631,2
25742,639,2
25743,621,2
25744,590,2
25745,574,2
25746,558,2
25747,570,2
25748,573,2
25749,569,2
25750,557,2
25751,538,2
25752,532,2
25753,535,2
25754,513,2
25755,491,1
25756,488,1
25757,477,1
25758,472,1
25759,463,1
25760,462,1
25761,458,1
25762,455,1
25763,454,1
25764,461,1
25765,460,1
25766,458,1
25767,446,1
25768,445,1
25769,442,1
25770,446,1
25771,430,1
25772,434,1
25773,415,1
25774,412,1
25775,419,1
25776,421,1
25777,417,1
25778,414,1
25779,405,1
25780,410,1
25781,407,1
25782,414,1
25783,401,1
25784,405,1
25785,407,1
25786,408,1
25787,403,1
25788,400,1
25789,403,1
25790,398,1
25791,403,1
25792,406,1
25793,398,1
25794,403,1
25795,402,1
25796,407,1
25797,387,1
25798,380,1
25799,384,1
25800,371,1
25801,371,1
25802,370,1
25803,377,1
25804,369,1
25805,363,1
25806,362,1
25807,360,1
25808,362,1
25809,364,1
25810,362,1
25811,362,1
25812,361,1
25813,362,1
25814,361,1
25815,357,1
25816,348,1
25817,343,1
25818,342,1
25819,332,1
25820,324,1
25821,335,1
25822,335,1
25823,333,1
25824,319,1
25825,320,1
25826,319,1
25827,319,1
25828,315,1
25829,315,1
25830,316,1
25831,323,1
25832,326,1
25833,318,1
25834,321,1
25835,318,1
25836,317,1
25837,309,1
25838,306,1
25839,301,1
25840,294,0
25841,290,0
25842,290,0
25843,288,0
25844,289,0
25845,298,0
25846,301,1
25847,293,0
25848,286,0
25849,285,0
25850,284,0
25851,284,0
25852,285,0
25853,282,0
25854,280,0
25855,279,0
25856,278,0
25857,278,0
25858,280,0
25859,284,0
25860,283,0
25861,300,1
25862,321,1
25863,317,1
25864,312,1
25865,309,1
25866,302,1
25867,299,0
25868,297,0
25869,291,0
